IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
45.77.130.24,4,4,0.00,77.77,73.23,NRT,443
45.76.207.88,4,4,0.00,77.32,67.11,NRT,443
85.121.50.16,4,4,0.00,87.84,63.39,NRT,443
167.179.119.229,4,4,0.00,74.37,63.38,NRT,443
45.32.49.254,4,4,0.00,78.32,61.45,NRT,443
45.76.216.24,4,4,0.00,83.95,60.89,NRT,443
45.32.248.233,4,4,0.00,83.18,60.83,NRT,443
45.77.129.201,4,4,0.00,78.74,60.59,NRT,443
104.238.161.103,4,4,0.00,88.84,60.59,NRT,443
167.179.103.224,4,4,0.00,76.04,60.54,NRT,443
212.135.215.72,4,4,0.00,60.50,60.51,NRT,443
207.148.112.66,4,4,0.00,76.93,60.48,NRT,8443
167.179.114.75,4,4,0.00,75.04,60.39,NRT,2053
139.180.202.209,4,4,0.00,88.68,60.00,NRT,443
45.32.39.53,4,4,0.00,79.60,59.45,NRT,8443
149.28.25.203,4,4,0.00,92.65,59.25,NRT,8443
154.31.114.162,4,4,0.00,88.71,59.09,NRT,8443
45.77.11.68,4,4,0.00,81.84,59.08,NRT,443
45.63.124.130,4,4,0.00,78.19,58.68,NRT,443
107.191.53.84,4,4,0.00,93.82,58.62,NRT,443
198.13.33.64,4,4,0.00,76.69,58.54,NRT,443
104.238.149.30,4,4,0.00,88.94,58.39,NRT,443
45.32.31.218,4,4,0.00,78.51,58.31,NRT,443
45.32.52.204,4,4,0.00,81.13,58.31,NRT,443
45.76.54.195,4,4,0.00,80.46,58.26,NRT,443
43.224.33.216,4,4,0.00,78.59,58.12,NRT,443
45.77.24.82,4,4,0.00,80.30,57.81,NRT,443
104.156.238.23,4,4,0.00,88.65,57.78,NRT,443
167.179.90.137,4,4,0.00,75.27,57.51,NRT,443
198.13.59.150,4,4,0.00,76.78,57.32,NRT,443
45.76.97.162,4,4,0.00,80.20,57.20,NRT,443
45.32.38.133,4,4,0.00,79.35,57.12,NRT,443
167.179.95.9,4,4,0.00,74.32,57.08,NRT,443
207.148.112.220,4,4,0.00,76.77,57.07,NRT,443
198.13.54.121,4,4,0.00,75.83,56.92,NRT,443
45.77.21.148,4,4,0.00,81.13,56.92,NRT,443
108.160.128.188,4,4,0.00,91.65,56.85,NRT,443
207.148.115.152,4,4,0.00,77.93,56.74,NRT,443
207.148.114.119,4,4,0.00,79.16,56.48,NRT,443
108.160.131.197,4,4,0.00,91.43,56.46,NRT,443
202.182.104.22,4,4,0.00,76.46,56.36,NRT,443
45.77.180.114,4,4,0.00,84.69,56.26,NRT,443
5.223.51.2,4,4,0.00,149.29,56.22,SIN,443
45.32.56.242,4,4,0.00,78.73,56.07,NRT,443
134.185.99.52,4,4,0.00,70.73,56.07,ICN,443
45.76.216.65,4,4,0.00,82.49,55.92,NRT,443
149.28.26.9,4,4,0.00,88.56,55.92,NRT,443
139.180.194.242,4,4,0.00,91.36,55.89,NRT,443
45.32.250.130,4,4,0.00,80.68,55.50,NRT,443
45.32.26.111,4,4,0.00,80.97,55.44,NRT,443
167.179.99.0,4,4,0.00,73.95,55.22,NRT,443
167.179.75.237,4,4,0.00,75.13,55.15,NRT,443
108.61.160.16,4,4,0.00,88.03,54.73,NRT,443
202.182.109.185,4,4,0.00,75.81,54.51,NRT,443
66.42.41.35,4,4,0.00,86.76,54.40,NRT,443
202.182.114.28,4,4,0.00,78.62,54.32,NRT,443
202.182.110.147,4,4,0.00,77.00,54.21,NRT,443
104.238.150.161,4,4,0.00,88.84,54.06,NRT,443
43.247.134.129,4,4,0.00,137.44,53.79,HKG,443
202.182.125.218,4,4,0.00,76.46,53.72,NRT,443
198.13.32.250,4,4,0.00,76.11,53.60,NRT,443
45.32.57.54,4,4,0.00,78.44,53.46,NRT,8443
45.77.134.188,4,4,0.00,84.12,53.35,NRT,443
167.179.111.237,4,4,0.00,74.35,53.33,NRT,443
180.149.230.33,4,4,0.00,77.49,53.17,NRT,443
202.182.108.246,4,4,0.00,76.57,53.04,NRT,8443
45.76.100.75,4,4,0.00,80.70,52.88,NRT,8443
45.32.54.94,4,4,0.00,79.95,52.60,NRT,443
45.76.222.52,4,4,0.00,82.95,52.54,NRT,8443
103.195.188.229,4,4,0.00,119.91,52.53,SIN,443
45.76.206.46,4,4,0.00,79.81,52.17,NRT,443
202.182.106.72,4,4,0.00,76.10,52.03,NRT,443
45.32.35.100,4,4,0.00,77.39,51.96,NRT,443
45.76.222.30,4,4,0.00,79.34,51.55,NRT,8443
74.81.55.217,4,4,0.00,85.50,51.43,NRT,8443
45.32.248.168,4,4,0.00,78.97,51.10,NRT,443
149.28.19.44,4,4,0.00,89.00,51.04,NRT,443
45.76.100.75,4,4,0.00,79.81,51.01,NRT,8443
139.180.196.14,4,4,0.00,91.51,50.86,NRT,443
167.179.113.206,4,4,0.00,75.03,50.34,NRT,443
168.107.17.234,4,4,0.00,93.55,50.23,ICN,8443
211.110.208.116,4,4,0.00,31.49,49.97,ICN,443
207.148.107.36,4,4,0.00,76.83,49.92,NRT,443
176.97.73.228,4,4,0.00,76.64,49.49,NRT,443
108.61.183.45,4,4,0.00,88.90,48.30,NRT,443
198.13.43.34,4,4,0.00,74.89,48.29,NRT,443
202.182.119.170,4,4,0.00,76.07,48.26,NRT,443
129.154.50.72,4,4,0.00,74.86,48.14,ICN,8443
108.160.136.71,4,4,0.00,88.78,47.87,NRT,443
167.179.90.164,4,4,0.00,74.79,47.72,NRT,443
167.179.94.160,4,4,0.00,74.46,47.12,NRT,443
74.222.12.91,4,4,0.00,86.94,46.93,NRT,8443
104.156.239.15,4,4,0.00,91.52,46.80,NRT,443
207.148.99.230,4,4,0.00,77.62,46.37,NRT,443
43.224.33.225,4,4,0.00,80.68,46.10,NRT,8443
167.179.106.168,4,4,0.00,74.34,46.08,NRT,443
74.222.12.199,4,4,0.00,87.71,45.96,NRT,8443
161.33.135.154,4,4,0.00,97.55,45.84,NRT,443
132.243.30.210,4,4,0.00,88.13,45.51,NRT,443
149.28.18.65,4,4,0.00,93.98,45.32,NRT,8443
207.148.95.173,4,4,0.00,76.46,44.77,NRT,443
149.28.21.186,4,4,0.00,89.13,44.65,NRT,8443
202.182.97.156,4,4,0.00,75.92,44.58,NRT,443
108.61.163.117,4,4,0.00,92.78,44.04,NRT,443
43.213.230.249,4,4,0.00,94.43,43.01,TPE,443
198.13.60.163,4,4,0.00,76.61,42.56,NRT,443
146.56.119.205,4,4,0.00,87.00,42.55,ICN,443
45.77.130.6,4,4,0.00,77.90,42.34,NRT,443
168.107.56.181,4,4,0.00,76.87,41.36,ICN,443
45.202.248.41,4,4,0.00,148.69,41.07,HKG,8443
207.148.90.139,4,4,0.00,77.57,40.87,NRT,443
103.195.191.121,4,4,0.00,115.43,40.64,SIN,443
139.180.193.51,4,4,0.00,88.26,40.59,NRT,443
194.68.27.90,4,4,0.00,76.32,40.53,NRT,443
161.33.135.140,4,4,0.00,98.63,40.52,NRT,443
161.33.148.146,4,4,0.00,99.98,40.39,NRT,443
74.222.12.84,4,4,0.00,84.28,40.26,NRT,8443
43.108.46.150,4,4,0.00,42.86,39.93,ICN,8443
161.33.205.231,4,4,0.00,98.68,39.52,NRT,443
161.33.138.142,4,4,0.00,100.03,39.15,NRT,443
198.13.33.123,4,4,0.00,75.72,38.94,NRT,443
